label,text,cleaned_text,tokens,final_text
Fungal infection,"I've had a rash on my skin that looks like dischromic patches, and I also have a lot of nodular eruptions and really bad itching. During the previous week, it has become worse.",ive had a rash on my skin that looks like dischromic patches and i also have a lot of nodular eruptions and really bad itching during the previous week it has become worse,"['ive', 'rash', 'skin', 'look', 'like', 'dischromic', 'patch', 'also', 'lot', 'nodular', 'eruption', 'really', 'bad', 'itching', 'previous', 'week', 'become', 'worse']",ive rash skin look like dischromic patch also lot nodular eruption really bad itching previous week become worse
Dengue,I have a high fever accompanied with severe headache and body pain. I experince chills every night. There is a distinct pain behind my eyes too.,i have a high fever accompanied with severe headache and body pain i experince chills every night there is a distinct pain behind my eyes too,"['high', 'fever', 'accompanied', 'severe', 'headache', 'body', 'pain', 'experince', 'chill', 'every', 'night', 'distinct', 'pain', 'behind', 'eye']",high fever accompanied severe headache body pain experince chill every night distinct pain behind eye
allergy,"I have stomach cramps, nausea and diarrhea. My throat is swollen, and I have difficulty breathing. Sometimes at night night I get chest pain and nauseous.",i have stomach cramps nausea and diarrhea my throat is swollen and i have difficulty breathing sometimes at night night i get chest pain and nauseous,"['stomach', 'cramp', 'nausea', 'diarrhea', 'throat', 'swollen', 'difficulty', 'breathing', 'sometimes', 'night', 'night', 'get', 'chest', 'pain', 'nauseous']",stomach cramp nausea diarrhea throat swollen difficulty breathing sometimes night night get chest pain nauseous
gastroesophageal reflux disease,"I get a sour taste in my mouth all the time, even when there is nothing acidic in my stomach. I often get the hiccups and have a lump in my throat.",i get a sour taste in my mouth all the time even when there is nothing acidic in my stomach i often get the hiccups and have a lump in my throat,"['get', 'sour', 'taste', 'mouth', 'time', 'even', 'nothing', 'acidic', 'stomach', 'often', 'get', 'hiccup', 'lump', 'throat']",get sour taste mouth time even nothing acidic stomach often get hiccup lump throat
Fungal infection,"Doctor, My skin is covered in a very uncomfortable rash, along with some odd patches of a different hue. My skin also has a few pimples that resemble little knots",doctor my skin is covered in a very uncomfortable rash along with some odd patches of a different hue my skin also has a few pimples that resemble little knots,"['doctor', 'skin', 'covered', 'uncomfortable', 'rash', 'along', 'odd', 'patch', 'different', 'hue', 'skin', 'also', 'pimple', 'resemble', 'little', 'knot']",doctor skin covered uncomfortable rash along odd patch different hue skin also pimple resemble little knot
Arthritis,"I've been experiencing severe muscular weakness, and my neck has been really stiff. I have swollen joints and find it difficult to move about without becoming stiff. It has also been really uncomfortable to walk.",ive been experiencing severe muscular weakness and my neck has been really stiff i have swollen joints and find it difficult to move about without becoming stiff it has also been really uncomfortable to walk,"['ive', 'experiencing', 'severe', 'muscular', 'weakness', 'neck', 'really', 'stiff', 'swollen', 'joint', 'find', 'difficult', 'move', 'without', 'becoming', 'stiff', 'also', 'really', 'uncomfortable', 'walk']",ive experiencing severe muscular weakness neck really stiff swollen joint find difficult move without becoming stiff also really uncomfortable walk
Impetigo,"There are sores on my face and mostly near my nose and lips. The sores are causing discomfort or pain, and there is a discharge of yellow or rust-colored fluid from them.",there are sores on my face and mostly near my nose and lips the sores are causing discomfort or pain and there is a discharge of yellow or rustcolored fluid from them,"['sore', 'face', 'mostly', 'near', 'nose', 'lip', 'sore', 'causing', 'discomfort', 'pain', 'discharge', 'yellow', 'rustcolored', 'fluid']",sore face mostly near nose lip sore causing discomfort pain discharge yellow rustcolored fluid
Common Cold,"I've been experiencing severe weariness and a sickly sensation. My throat has been really painful and I've had a fairly severe cough. My nose has been quite stuffy, and I've had significant sinus pressure. I'm really miserable and extremely exhausted.",ive been experiencing severe weariness and a sickly sensation my throat has been really painful and ive had a fairly severe cough my nose has been quite stuffy and ive had significant sinus pressure im really miserable and extremely exhausted,"['ive', 'experiencing', 'severe', 'weariness', 'sickly', 'sensation', 'throat', 'really', 'painful', 'ive', 'fairly', 'severe', 'cough', 'nose', 'quite', 'stuffy', 'ive', 'significant', 'sinus', 'pressure', 'im', 'really', 'miserable', 'extremely', 'exhausted']",ive experiencing severe weariness sickly sensation throat really painful ive fairly severe cough nose quite stuffy ive significant sinus pressure im really miserable extremely exhausted
Impetigo,My cheeks and nose are covered with red sores. I've observed that the rash on my neck and chest is spreading faster. I am also developing a mild fever.,my cheeks and nose are covered with red sores ive observed that the rash on my neck and chest is spreading faster i am also developing a mild fever,"['cheek', 'nose', 'covered', 'red', 'sore', 'ive', 'observed', 'rash', 'neck', 'chest', 'spreading', 'faster', 'also', 'developing', 'mild', 'fever']",cheek nose covered red sore ive observed rash neck chest spreading faster also developing mild fever
Jaundice,I have been feeling itchy and have been vomiting. I am also very fatigued and have lost weight. My fever is high and my skin has become yellow. My urine is dark and I have abdominal pain,i have been feeling itchy and have been vomiting i am also very fatigued and have lost weight my fever is high and my skin has become yellow my urine is dark and i have abdominal pain,"['feeling', 'itchy', 'vomiting', 'also', 'fatigued', 'lost', 'weight', 'fever', 'high', 'skin', 'become', 'yellow', 'urine', 'dark', 'abdominal', 'pain']",feeling itchy vomiting also fatigued lost weight fever high skin become yellow urine dark abdominal pain
Dimorphic Hemorrhoids,"My bowel motions have been really difficult for me recently. Going is difficult, and it aches when I do. When I go, my anus bleeds and is really uncomfortable. I'm in a lot of discomfort and it hurts extremely bad.",my bowel motions have been really difficult for me recently going is difficult and it aches when i do when i go my anus bleeds and is really uncomfortable im in a lot of discomfort and it hurts extremely bad,"['bowel', 'motion', 'really', 'difficult', 'recently', 'going', 'difficult', 'ache', 'go', 'anus', 'bleeds', 'really', 'uncomfortable', 'im', 'lot', 'discomfort', 'hurt', 'extremely', 'bad']",bowel motion really difficult recently going difficult ache go anus bleeds really uncomfortable im lot discomfort hurt extremely bad
Migraine,"I have been feeling hungry all the time and have had a sore neck, as well as problems with my vision.",i have been feeling hungry all the time and have had a sore neck as well as problems with my vision,"['feeling', 'hungry', 'time', 'sore', 'neck', 'well', 'problem', 'vision']",feeling hungry time sore neck well problem vision
Fungal infection,"Recently, my skin has been quite itchy, and I have a rash all over my body. My skin also has a few spots where the hue is altered and some lumps and knot-like pimples.",recently my skin has been quite itchy and i have a rash all over my body my skin also has a few spots where the hue is altered and some lumps and knotlike pimples,"['recently', 'skin', 'quite', 'itchy', 'rash', 'body', 'skin', 'also', 'spot', 'hue', 'altered', 'lump', 'knotlike', 'pimple']",recently skin quite itchy rash body skin also spot hue altered lump knotlike pimple
peptic ulcer disease,"Occasionally throughout the day or at night, I have burning in my upper abdomen. I get indigestion, heartburn, and frequent bouts of extreme nausea.",occasionally throughout the day or at night i have burning in my upper abdomen i get indigestion heartburn and frequent bouts of extreme nausea,"['occasionally', 'throughout', 'day', 'night', 'burning', 'upper', 'abdomen', 'get', 'indigestion', 'heartburn', 'frequent', 'bout', 'extreme', 'nausea']",occasionally throughout day night burning upper abdomen get indigestion heartburn frequent bout extreme nausea
drug reaction,"I'm shedding hair, and the texture of my hair has changed significantly. My dry, itchy scalp and dandruff are becoming worse. My skin is also becoming pretty dry.",im shedding hair and the texture of my hair has changed significantly my dry itchy scalp and dandruff are becoming worse my skin is also becoming pretty dry,"['im', 'shedding', 'hair', 'texture', 'hair', 'changed', 'significantly', 'dry', 'itchy', 'scalp', 'dandruff', 'becoming', 'worse', 'skin', 'also', 'becoming', 'pretty', 'dry']",im shedding hair texture hair changed significantly dry itchy scalp dandruff becoming worse skin also becoming pretty dry
Cervical spondylosis,"I've been having periodic coughing fits, terrible back pain, and limb weakness. I've been feeling neck pain as well as a dizzy and unstable sensation.",ive been having periodic coughing fits terrible back pain and limb weakness ive been feeling neck pain as well as a dizzy and unstable sensation,"['ive', 'periodic', 'coughing', 'fit', 'terrible', 'back', 'pain', 'limb', 'weakness', 'ive', 'feeling', 'neck', 'pain', 'well', 'dizzy', 'unstable', 'sensation']",ive periodic coughing fit terrible back pain limb weakness ive feeling neck pain well dizzy unstable sensation
urinary tract infection,I have been having pain in my bladder and have been getting ,i have been having pain in my bladder and have been getting ,"['pain', 'bladder', 'getting']",pain bladder getting
peptic ulcer disease,"My mouth is filled with an acidic, sour flavour. Burping and belching are frequent in me. For a few hours, my upper abdomen has felt pressured or full.",my mouth is filled with an acidic sour flavour burping and belching are frequent in me for a few hours my upper abdomen has felt pressured or full,"['mouth', 'filled', 'acidic', 'sour', 'flavour', 'burping', 'belching', 'frequent', 'hour', 'upper', 'abdomen', 'felt', 'pressured', 'full']",mouth filled acidic sour flavour burping belching frequent hour upper abdomen felt pressured full
Impetigo,"The rashes on my face are not healing. I tried some medications but it is not helping much. Recently, I noticed small sores near my nose. They are painful and very difficult to handle.",the rashes on my face are not healing i tried some medications but it is not helping much recently i noticed small sores near my nose they are painful and very difficult to handle,"['rash', 'face', 'healing', 'tried', 'medication', 'helping', 'much', 'recently', 'noticed', 'small', 'sore', 'near', 'nose', 'painful', 'difficult', 'handle']",rash face healing tried medication helping much recently noticed small sore near nose painful difficult handle
Cervical spondylosis,"I have been experiencing intense back pain, a dry cough, and a lack of strength in my limbs. My neck hurts and I have been feeling dizzy and unsteady on my feet.",i have been experiencing intense back pain a dry cough and a lack of strength in my limbs my neck hurts and i have been feeling dizzy and unsteady on my feet,"['experiencing', 'intense', 'back', 'pain', 'dry', 'cough', 'lack', 'strength', 'limb', 'neck', 'hurt', 'feeling', 'dizzy', 'unsteady', 'foot']",experiencing intense back pain dry cough lack strength limb neck hurt feeling dizzy unsteady foot
Acne,"My skin has a horrible rash that is absolutely nonheritable. Blackheads and pus-filled pimples abound on it. In addition, my skin has been quite sensitive.",my skin has a horrible rash that is absolutely nonheritable blackheads and pusfilled pimples abound on it in addition my skin has been quite sensitive,"['skin', 'horrible', 'rash', 'absolutely', 'nonheritable', 'blackhead', 'pusfilled', 'pimple', 'abound', 'addition', 'skin', 'quite', 'sensitive']",skin horrible rash absolutely nonheritable blackhead pusfilled pimple abound addition skin quite sensitive
Varicose Veins,"Recently, my calves have been cramping up frequently, especially when I am walking or standing for long periods of time. Also, the veins are very noticeable.",recently my calves have been cramping up frequently especially when i am walking or standing for long periods of time also the veins are very noticeable,"['recently', 'calf', 'cramping', 'frequently', 'especially', 'walking', 'standing', 'long', 'period', 'time', 'also', 'vein', 'noticeable']",recently calf cramping frequently especially walking standing long period time also vein noticeable
Varicose Veins,"I have noticed that the blood vessels in my legs are getting more noticeable than usual. It is a little concerning to me. Moreover, I am experiencing cramps every day.",i have noticed that the blood vessels in my legs are getting more noticeable than usual it is a little concerning to me moreover i am experiencing cramps every day,"['noticed', 'blood', 'vessel', 'leg', 'getting', 'noticeable', 'usual', 'little', 'concerning', 'moreover', 'experiencing', 'cramp', 'every', 'day']",noticed blood vessel leg getting noticeable usual little concerning moreover experiencing cramp every day
Arthritis,"Lately i have been experiencing muscle weakness, a stiff neck, swelling joints, and stiffness after I attempt to move around. it is also been very painful to steer.",lately i have been experiencing muscle weakness a stiff neck swelling joints and stiffness after i attempt to move around it is also been very painful to steer,"['lately', 'experiencing', 'muscle', 'weakness', 'stiff', 'neck', 'swelling', 'joint', 'stiffness', 'attempt', 'move', 'around', 'also', 'painful', 'steer']",lately experiencing muscle weakness stiff neck swelling joint stiffness attempt move around also painful steer
Psoriasis,"My palms and soles have grown and developed severe fissures. These cracks are unpleasant and frequently bleed. Also, the skin is starting to peel off.",my palms and soles have grown and developed severe fissures these cracks are unpleasant and frequently bleed also the skin is starting to peel off,"['palm', 'sol', 'grown', 'developed', 'severe', 'fissure', 'crack', 'unpleasant', 'frequently', 'bleed', 'also', 'skin', 'starting', 'peel']",palm sol grown developed severe fissure crack unpleasant frequently bleed also skin starting peel
Malaria,"I'm suffering from intense itching, chills, vomiting, and a high fever. I've also been sweating a lot and have a headache. Nausea and muscle pain have also been bothering me.",im suffering from intense itching chills vomiting and a high fever ive also been sweating a lot and have a headache nausea and muscle pain have also been bothering me,"['im', 'suffering', 'intense', 'itching', 'chill', 'vomiting', 'high', 'fever', 'ive', 'also', 'sweating', 'lot', 'headache', 'nausea', 'muscle', 'pain', 'also', 'bothering']",im suffering intense itching chill vomiting high fever ive also sweating lot headache nausea muscle pain also bothering
Acne,I awoke this morning to see that I had a horrible rash all over my skin. There are several blackheads and pimples loaded with pus. My skin has also been scurrying about.,i awoke this morning to see that i had a horrible rash all over my skin there are several blackheads and pimples loaded with pus my skin has also been scurrying about,"['awoke', 'morning', 'see', 'horrible', 'rash', 'skin', 'several', 'blackhead', 'pimple', 'loaded', 'pu', 'skin', 'also', 'scurrying']",awoke morning see horrible rash skin several blackhead pimple loaded pu skin also scurrying
Pneumonia,"I've been coughing a lot and feeling incredibly chilly and exhausted. I have a pretty high fever, and it's difficult for me to breathe. I've been perspiring a lot and generally feeling weak and ill. I've had some quite thick and black phlegm.",ive been coughing a lot and feeling incredibly chilly and exhausted i have a pretty high fever and its difficult for me to breathe ive been perspiring a lot and generally feeling weak and ill ive had some quite thick and black phlegm,"['ive', 'coughing', 'lot', 'feeling', 'incredibly', 'chilly', 'exhausted', 'pretty', 'high', 'fever', 'difficult', 'breathe', 'ive', 'perspiring', 'lot', 'generally', 'feeling', 'weak', 'ill', 'ive', 'quite', 'thick', 'black', 'phlegm']",ive coughing lot feeling incredibly chilly exhausted pretty high fever difficult breathe ive perspiring lot generally feeling weak ill ive quite thick black phlegm
Pneumonia,"I'm saturated with sweat and struggling to breathe. My throat is blocked with mucous, and I'm uncomfortable. My heart is racing, and my chest aches. I'm coughing up a darkish stringy mucous.",im saturated with sweat and struggling to breathe my throat is blocked with mucous and im uncomfortable my heart is racing and my chest aches im coughing up a darkish stringy mucous,"['im', 'saturated', 'sweat', 'struggling', 'breathe', 'throat', 'blocked', 'mucous', 'im', 'uncomfortable', 'heart', 'racing', 'chest', 'ache', 'im', 'coughing', 'darkish', 'stringy', 'mucous']",im saturated sweat struggling breathe throat blocked mucous im uncomfortable heart racing chest ache im coughing darkish stringy mucous
Dengue,I have been experiencing muscle pain that makes it difficult for me to move around. I have lost my apetite and feel vomiting. My legs and back pain a lot. ,i have been experiencing muscle pain that makes it difficult for me to move around i have lost my apetite and feel vomiting my legs and back pain a lot ,"['experiencing', 'muscle', 'pain', 'make', 'difficult', 'move', 'around', 'lost', 'apetite', 'feel', 'vomiting', 'leg', 'back', 'pain', 'lot']",experiencing muscle pain make difficult move around lost apetite feel vomiting leg back pain lot
Impetigo,I have been suffering from a high fever for the last couple of days. Sores are developing near my nose. The sores are painful and I am feeling very uncomfortable these days.,i have been suffering from a high fever for the last couple of days sores are developing near my nose the sores are painful and i am feeling very uncomfortable these days,"['suffering', 'high', 'fever', 'last', 'couple', 'day', 'sore', 'developing', 'near', 'nose', 'sore', 'painful', 'feeling', 'uncomfortable', 'day']",suffering high fever last couple day sore developing near nose sore painful feeling uncomfortable day
Acne,I've been struggling with a really nasty rash on my skin lately. It's covered in blackheads and pimples that are packed with pus. My skin has also been really scurrying.,ive been struggling with a really nasty rash on my skin lately its covered in blackheads and pimples that are packed with pus my skin has also been really scurrying,"['ive', 'struggling', 'really', 'nasty', 'rash', 'skin', 'lately', 'covered', 'blackhead', 'pimple', 'packed', 'pu', 'skin', 'also', 'really', 'scurrying']",ive struggling really nasty rash skin lately covered blackhead pimple packed pu skin also really scurrying
Jaundice,"I've been constantly feeling scratchy, sick, and tired out. In addition, I've lost weight and have a temperature. My urine is dark, and my skin has turned yellow. Furthermore, I have been experiencing stomach pain.",ive been constantly feeling scratchy sick and tired out in addition ive lost weight and have a temperature my urine is dark and my skin has turned yellow furthermore i have been experiencing stomach pain,"['ive', 'constantly', 'feeling', 'scratchy', 'sick', 'tired', 'addition', 'ive', 'lost', 'weight', 'temperature', 'urine', 'dark', 'skin', 'turned', 'yellow', 'furthermore', 'experiencing', 'stomach', 'pain']",ive constantly feeling scratchy sick tired addition ive lost weight temperature urine dark skin turned yellow furthermore experiencing stomach pain
Acne,"This morning when I woke up, I discovered an extremely bad rash on my skin. There are several pus-filled pimples and blackheads all around. My skin has also been moving around a lot.",this morning when i woke up i discovered an extremely bad rash on my skin there are several pusfilled pimples and blackheads all around my skin has also been moving around a lot,"['morning', 'woke', 'discovered', 'extremely', 'bad', 'rash', 'skin', 'several', 'pusfilled', 'pimple', 'blackhead', 'around', 'skin', 'also', 'moving', 'around', 'lot']",morning woke discovered extremely bad rash skin several pusfilled pimple blackhead around skin also moving around lot
Common Cold,"I've been wheezing a lot and am generally feeling sick and exhausted. My throat feels really scratchy, and a lot of gross stuff is flowing out of my nose. My neck also feels bloated.",ive been wheezing a lot and am generally feeling sick and exhausted my throat feels really scratchy and a lot of gross stuff is flowing out of my nose my neck also feels bloated,"['ive', 'wheezing', 'lot', 'generally', 'feeling', 'sick', 'exhausted', 'throat', 'feel', 'really', 'scratchy', 'lot', 'gross', 'stuff', 'flowing', 'nose', 'neck', 'also', 'feel', 'bloated']",ive wheezing lot generally feeling sick exhausted throat feel really scratchy lot gross stuff flowing nose neck also feel bloated
Jaundice,"I've been itchy and have been throwing up. Along with losing weight, I'm also really exhausted. My skin has turned yellow, and my fever is high. Additionally, I get stomach ache and dark urine.",ive been itchy and have been throwing up along with losing weight im also really exhausted my skin has turned yellow and my fever is high additionally i get stomach ache and dark urine,"['ive', 'itchy', 'throwing', 'along', 'losing', 'weight', 'im', 'also', 'really', 'exhausted', 'skin', 'turned', 'yellow', 'fever', 'high', 'additionally', 'get', 'stomach', 'ache', 'dark', 'urine']",ive itchy throwing along losing weight im also really exhausted skin turned yellow fever high additionally get stomach ache dark urine
Varicose Veins,The cramps in my calves have been making it difficult for me to walk and do my daily activities. They come on suddenly and last for several minutes.,the cramps in my calves have been making it difficult for me to walk and do my daily activities they come on suddenly and last for several minutes,"['cramp', 'calf', 'making', 'difficult', 'walk', 'daily', 'activity', 'come', 'suddenly', 'last', 'several', 'minute']",cramp calf making difficult walk daily activity come suddenly last several minute
Varicose Veins,"The cramps in my calves are becoming more frequent and intense, making it difficult for me to walk and do my daily activities.",the cramps in my calves are becoming more frequent and intense making it difficult for me to walk and do my daily activities,"['cramp', 'calf', 'becoming', 'frequent', 'intense', 'making', 'difficult', 'walk', 'daily', 'activity']",cramp calf becoming frequent intense making difficult walk daily activity
Arthritis,"I've been experiencing stiffness and weakness in my neck muscles recently. Since my joints have grownup, it's heavy on behalf of Pine Tree State to run whereas not getting stiff. additionally, walking has been terribly uncomfortable.",ive been experiencing stiffness and weakness in my neck muscles recently since my joints have grownup its heavy on behalf of pine tree state to run whereas not getting stiff additionally walking has been terribly uncomfortable,"['ive', 'experiencing', 'stiffness', 'weakness', 'neck', 'muscle', 'recently', 'since', 'joint', 'grownup', 'heavy', 'behalf', 'pine', 'tree', 'state', 'run', 'whereas', 'getting', 'stiff', 'additionally', 'walking', 'terribly', 'uncomfortable']",ive experiencing stiffness weakness neck muscle recently since joint grownup heavy behalf pine tree state run whereas getting stiff additionally walking terribly uncomfortable
Varicose Veins,"The veins in my legs are causing discomfort and difficulty sleeping at night. They are swollen and protruding from my skin, making them noticeable and painful.",the veins in my legs are causing discomfort and difficulty sleeping at night they are swollen and protruding from my skin making them noticeable and painful,"['vein', 'leg', 'causing', 'discomfort', 'difficulty', 'sleeping', 'night', 'swollen', 'protruding', 'skin', 'making', 'noticeable', 'painful']",vein leg causing discomfort difficulty sleeping night swollen protruding skin making noticeable painful
Dimorphic Hemorrhoids,"I've been having a lot of trouble going to the bathroom lately, and it's been really painful. I've also noticed that my stool has been bloody and my anus has been really irritated.",ive been having a lot of trouble going to the bathroom lately and its been really painful ive also noticed that my stool has been bloody and my anus has been really irritated,"['ive', 'lot', 'trouble', 'going', 'bathroom', 'lately', 'really', 'painful', 'ive', 'also', 'noticed', 'stool', 'bloody', 'anus', 'really', 'irritated']",ive lot trouble going bathroom lately really painful ive also noticed stool bloody anus really irritated
peptic ulcer disease,"I have a stomach ache that keeps me from falling or staying asleep. After using the restroom, I feel worn out and lose interest in food. I'm constantly pretty anxious.",i have a stomach ache that keeps me from falling or staying asleep after using the restroom i feel worn out and lose interest in food im constantly pretty anxious,"['stomach', 'ache', 'keep', 'falling', 'staying', 'asleep', 'using', 'restroom', 'feel', 'worn', 'lose', 'interest', 'food', 'im', 'constantly', 'pretty', 'anxious']",stomach ache keep falling staying asleep using restroom feel worn lose interest food im constantly pretty anxious
Bronchial Asthma,"I've been struggling with fatigue and a constant cough that's been making it difficult to breathe. My fever is high, and I've been coughing up a lot of thick, mucoid sputum.",ive been struggling with fatigue and a constant cough thats been making it difficult to breathe my fever is high and ive been coughing up a lot of thick mucoid sputum,"['ive', 'struggling', 'fatigue', 'constant', 'cough', 'thats', 'making', 'difficult', 'breathe', 'fever', 'high', 'ive', 'coughing', 'lot', 'thick', 'mucoid', 'sputum']",ive struggling fatigue constant cough thats making difficult breathe fever high ive coughing lot thick mucoid sputum
diabetes,"My entire body is trembling and shaky. I've lost my ability to taste and smell, and I'm worn out. I sometimes get a racing heart or palpitations.",my entire body is trembling and shaky ive lost my ability to taste and smell and im worn out i sometimes get a racing heart or palpitations,"['entire', 'body', 'trembling', 'shaky', 'ive', 'lost', 'ability', 'taste', 'smell', 'im', 'worn', 'sometimes', 'get', 'racing', 'heart', 'palpitation']",entire body trembling shaky ive lost ability taste smell im worn sometimes get racing heart palpitation
drug reaction,"My rashes occasionally cause my skin to peel off. I'm more susceptible to illnesses as a result. I start to tremble sometimes, and my hands start to shake.",my rashes occasionally cause my skin to peel off im more susceptible to illnesses as a result i start to tremble sometimes and my hands start to shake,"['rash', 'occasionally', 'cause', 'skin', 'peel', 'im', 'susceptible', 'illness', 'result', 'start', 'tremble', 'sometimes', 'hand', 'start', 'shake']",rash occasionally cause skin peel im susceptible illness result start tremble sometimes hand start shake
Migraine,"I have been experiencing acidity, indigestion, and headaches, as well as blurred and distorted vision, excessive hunger, a stiff neck, depression, irritability, and visual disturbance",i have been experiencing acidity indigestion and headaches as well as blurred and distorted vision excessive hunger a stiff neck depression irritability and visual disturbance,"['experiencing', 'acidity', 'indigestion', 'headache', 'well', 'blurred', 'distorted', 'vision', 'excessive', 'hunger', 'stiff', 'neck', 'depression', 'irritability', 'visual', 'disturbance']",experiencing acidity indigestion headache well blurred distorted vision excessive hunger stiff neck depression irritability visual disturbance
Pneumonia,"Lately I've been experiencing chills, fatigue, a cough, a high fever, and difficulty breathing. I've been sweating a lot and just feeling really sick and weak. I've also had some phlegm that's been really thick and dark.",lately ive been experiencing chills fatigue a cough a high fever and difficulty breathing ive been sweating a lot and just feeling really sick and weak ive also had some phlegm thats been really thick and dark,"['lately', 'ive', 'experiencing', 'chill', 'fatigue', 'cough', 'high', 'fever', 'difficulty', 'breathing', 'ive', 'sweating', 'lot', 'feeling', 'really', 'sick', 'weak', 'ive', 'also', 'phlegm', 'thats', 'really', 'thick', 'dark']",lately ive experiencing chill fatigue cough high fever difficulty breathing ive sweating lot feeling really sick weak ive also phlegm thats really thick dark
Acne,I've been having a very unhealthy rash on my skin latterly. It's filled with pus-filled pimples and blackheads. My skin has additionally been scurring heaps.,ive been having a very unhealthy rash on my skin latterly its filled with pusfilled pimples and blackheads my skin has additionally been scurring heaps,"['ive', 'unhealthy', 'rash', 'skin', 'latterly', 'filled', 'pusfilled', 'pimple', 'blackhead', 'skin', 'additionally', 'scurring', 'heap']",ive unhealthy rash skin latterly filled pusfilled pimple blackhead skin additionally scurring heap
drug reaction,"My desire for sex has dropped, and I'm having trouble having sex. I frequently get brain fog, as well as feeling somewhat bewildered.",my desire for sex has dropped and im having trouble having sex i frequently get brain fog as well as feeling somewhat bewildered,"['desire', 'sex', 'dropped', 'im', 'trouble', 'sex', 'frequently', 'get', 'brain', 'fog', 'well', 'feeling', 'somewhat', 'bewildered']",desire sex dropped im trouble sex frequently get brain fog well feeling somewhat bewildered
drug reaction,"In addition to experiencing a change in taste and fragrance, I also have a metallic aftertaste in my tongue. occasionally get excruciating joint and muscular pain",in addition to experiencing a change in taste and fragrance i also have a metallic aftertaste in my tongue occasionally get excruciating joint and muscular pain,"['addition', 'experiencing', 'change', 'taste', 'fragrance', 'also', 'metallic', 'aftertaste', 'tongue', 'occasionally', 'get', 'excruciating', 'joint', 'muscular', 'pain']",addition experiencing change taste fragrance also metallic aftertaste tongue occasionally get excruciating joint muscular pain
Common Cold,"I can't stop sneezing and my nose is really runny. I'm also really cold and tired all the time, and I've been coughing a lot. My fever is really high too, like way above normal.",i cant stop sneezing and my nose is really runny im also really cold and tired all the time and ive been coughing a lot my fever is really high too like way above normal,"['cant', 'stop', 'sneezing', 'nose', 'really', 'runny', 'im', 'also', 'really', 'cold', 'tired', 'time', 'ive', 'coughing', 'lot', 'fever', 'really', 'high', 'like', 'way', 'normal']",cant stop sneezing nose really runny im also really cold tired time ive coughing lot fever really high like way normal
Chicken pox,"The high fever, swollen lymph nodes and headache are causing me a lot of trouble. I don't feel like eating anything and feel weak and fatigued. It's hard for me to concentrate on my daily life.",the high fever swollen lymph nodes and headache are causing me a lot of trouble i dont feel like eating anything and feel weak and fatigued its hard for me to concentrate on my daily life,"['high', 'fever', 'swollen', 'lymph', 'node', 'headache', 'causing', 'lot', 'trouble', 'dont', 'feel', 'like', 'eating', 'anything', 'feel', 'weak', 'fatigued', 'hard', 'concentrate', 'daily', 'life']",high fever swollen lymph node headache causing lot trouble dont feel like eating anything feel weak fatigued hard concentrate daily life
Dimorphic Hemorrhoids,I've been having a really hard time going to the bathroom lately. It's really painful when I try to go and my anus hurts a lot. There's also been some blood in my stool and my anus has been really itchy.,ive been having a really hard time going to the bathroom lately its really painful when i try to go and my anus hurts a lot theres also been some blood in my stool and my anus has been really itchy,"['ive', 'really', 'hard', 'time', 'going', 'bathroom', 'lately', 'really', 'painful', 'try', 'go', 'anus', 'hurt', 'lot', 'there', 'also', 'blood', 'stool', 'anus', 'really', 'itchy']",ive really hard time going bathroom lately really painful try go anus hurt lot there also blood stool anus really itchy
Acne,"I woke up today to find that I had a major rash all over my body. There are lots of pimples filled with pus and blackheads everywhere, and my skin has been scurrying a lot.",i woke up today to find that i had a major rash all over my body there are lots of pimples filled with pus and blackheads everywhere and my skin has been scurrying a lot,"['woke', 'today', 'find', 'major', 'rash', 'body', 'lot', 'pimple', 'filled', 'pu', 'blackhead', 'everywhere', 'skin', 'scurrying', 'lot']",woke today find major rash body lot pimple filled pu blackhead everywhere skin scurrying lot
Psoriasis,The skin on my palms and soles is thickened and has deep cracks. These cracks are painful and bleed easily.,the skin on my palms and soles is thickened and has deep cracks these cracks are painful and bleed easily,"['skin', 'palm', 'sol', 'thickened', 'deep', 'crack', 'crack', 'painful', 'bleed', 'easily']",skin palm sol thickened deep crack crack painful bleed easily
Fungal infection,I have an itchy skin and lots of red bumps on my arms and legs. There are some weird looking spots on my skin too. And sometimes there are bumps that feel kind of hard.,i have an itchy skin and lots of red bumps on my arms and legs there are some weird looking spots on my skin too and sometimes there are bumps that feel kind of hard,"['itchy', 'skin', 'lot', 'red', 'bump', 'arm', 'leg', 'weird', 'looking', 'spot', 'skin', 'sometimes', 'bump', 'feel', 'kind', 'hard']",itchy skin lot red bump arm leg weird looking spot skin sometimes bump feel kind hard
Hypertension,"I've been suffering from symptoms including a headache, chest pain, dizziness, losing my balance, and trouble concentrating.",ive been suffering from symptoms including a headache chest pain dizziness losing my balance and trouble concentrating,"['ive', 'suffering', 'symptom', 'including', 'headache', 'chest', 'pain', 'dizziness', 'losing', 'balance', 'trouble', 'concentrating']",ive suffering symptom including headache chest pain dizziness losing balance trouble concentrating
